"Restaurant_ID","TotalRating","DinnerRating","LunchRating","ReviewNum","Rating_Category"
"402","3.6666666666666665","3.0","3.39","12","3~3.9 星餐廳"
"403","3.633333333333333","3.05","3.08","11","3~3.9 星餐廳"
"404","3.566666666666667","3.13","","21","3~3.9 星餐廳"
"405","3.633333333333333","3.03","","5","3~3.9 星餐廳"
"406","4.3","3.57","3.05","15","4~5 星餐廳"
"407","3.466666666666667","3.05","3.37","51","3~3.9 星餐廳"
"408","3.566666666666667","3.06","","6","3~3.9 星餐廳"
"409","3.533333333333333","3.1","3.32","59","3~3.9 星餐廳"
"410","3.433333333333333","3.2","","6","3~3.9 星餐廳"
"411","4.066666666666666","3.23","3.39","3","4~5 星餐廳"
"412","4.066666666666666","3.55","3.35","36","4~5 星餐廳"
"413","3.6666666666666665","3.08","3.22","58","3~3.9 星餐廳"
"414","4.266666666666667","3.49","","17","4~5 星餐廳"
"415","3.8333333333333335","3.05","","5","3~3.9 星餐廳"
"416","3.7","3.0","","30","3~3.9 星餐廳"
"417","3.733333333333333","3.04","","19","3~3.9 星餐廳"
"418","3.566666666666667","3.15","","13","3~3.9 星餐廳"
"419","3.733333333333333","3.04","3.03","12","3~3.9 星餐廳"
"420","3.6666666666666665","3.02","","21","3~3.9 星餐廳"
"421","3.3","3.06","","2","3~3.9 星餐廳"
"422","3.6666666666666665","3.09","3.07","30","3~3.9 星餐廳"
"423","3.533333333333333","3.07","3.15","11","3~3.9 星餐廳"
"424","3.566666666666667","3.01","","24","3~3.9 星餐廳"
"425","4.233333333333333","3.45","","15","4~5 星餐廳"
"426","3.7","3.06","","11","3~3.9 星餐廳"
"427","4.233333333333333","3.56","3.54","82","4~5 星餐廳"
"428","3.7","3.03","","4","3~3.9 星餐廳"
"429","3.966666666666667","3.04","3.36","27","3~3.9 星餐廳"
"430","3.6","3.09","3.08","47","3~3.9 星餐廳"
"431","3.566666666666667","3.15","3.16","15","3~3.9 星餐廳"
"432","4.033333333333333","3.36","3.38","66","4~5 星餐廳"
"433","3.7","3.31","3.06","18","3~3.9 星餐廳"
"434","3.6","3.15","3.51","9","3~3.9 星餐廳"
"435","3.7","3.04","3.03","6","3~3.9 星餐廳"
"436","3.633333333333333","3.04","3.04","10","3~3.9 星餐廳"
"437","3.6666666666666665","3.19","3.05","21","3~3.9 星餐廳"
"438","3.566666666666667","3.07","3.13","13","3~3.9 星餐廳"
"439","4.2","3.35","3.51","15","4~5 星餐廳"
"440","4.266666666666667","3.35","3.33","29","4~5 星餐廳"
"441","3.6666666666666665","3.06","3.06","9","3~3.9 星餐廳"
"442","4.0","3.1","3.51","50","4~5 星餐廳"
"443","4.033333333333333","3.44","3.51","52","4~5 星餐廳"
"444","3.733333333333333","3.08","3.07","20","3~3.9 星餐廳"
"445","4.2","3.06","3.51","40","4~5 星餐廳"
"446","3.5","3.39","3.27","99","3~3.9 星餐廳"
