ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
91,ChIJAQDbmI8IAWARhHXCPj_adkQ,Gosho Hachiman-gū Shrine,3.8,104,Place Of Worship,,35.0105058,135.7626408,"596-596 Kikkoyacho, Nakagyo Ward, Kyoto, 604-8105, Japan"
92,ChIJoyPwQy4GAWAR21VeYr6YJ-Y,Motogion Nagi Shrine,4.1,478,Place Of Worship,,35.0033765,135.7440809,"18-2 Mibunaginomiyacho, Nakagyo Ward, Kyoto, 604-8821, Japan"
93,ChIJX8ihCsAHAWARUkJazK2itGk,Suika Tenmangu Shrine,4.0,462,Place Of Worship,,35.0362863,135.7518906,"Japan, 〒602-0071 Kyoto, Kamigyo Ward, Ogicho, 722-10"
94,ChIJuWCL-54IAWARkhrw4AbgonE,Gojō Tenshingū Shrine (Tenshi no Miya),3.9,167,Place Of Worship,,34.9986734,135.7549476,"351-2 Tenjinmaecho, Shimogyo Ward, Kyoto, 600-8459, Japan"
95,ChIJbeDwe-0HAWARGu4ubMH-Jls,Kitano Tenmangu Shrine,4.4,15873,Place Of Worship,,35.0311737,135.7351227,"Bakurocho, Kamigyo Ward, Kyoto, 602-8386, Japan"
96,ChIJ58vp0WoGAWARb5YzLjJne4A,Nyakuichi Shrine,4.3,374,Place Of Worship,,34.9844243,135.7329746,"98 Shichijo Goshonouchi Honmachi, Shimogyo Ward, Kyoto, 600-8863, Japan"
97,ChIJVVUYY3wIAWARxSL331NDG4I,Sugawara-in Tenmangu Shrine,4.1,687,Place Of Worship,,35.0195615,135.7590858,"Japan, 〒602-8021 Kyoto, Kamigyo Ward, Horimatsucho, 406"
98,ChIJI5WmghIIAWARGUmnXY9fDcA,Kamigoryō Shrine,4.2,882,Place Of Worship,,35.0364975,135.7616699,"495番地 Kamigoryotatemachi, Kamigyo Ward, Kyoto, 602-0896, Japan"
99,ChIJtanl4zkHAWARqnL8vQqsR5w,Tsukiyomi Shrine,4.1,525,Place Of Worship,,34.9965259,135.6860716,"15 Matsumuroyamazoecho, Nishikyo Ward, Kyoto, 615-8296, Japan"
100,ChIJEwrxHIsHAWARg67_86NKo-s,Shikichi Shrine (Wara Tenjingu),4.0,1071,Place Of Worship,,35.0362787,135.7315434,"Japan, 〒603-8375 Kyoto, Kita Ward, Kinugasa Tenjinmoricho, 10 神社本庁敷地神社"
101,ChIJx_PeeN4IAWAR2_K3-tPME68,Awata Shrine,4.2,820,Place Of Worship,,35.0082907,135.7854272,"1 Awadaguchi Kajicho, Higashiyama Ward, Kyoto, 605-0051, Japan"
102,ChIJKbEz1aITAWARiDEyNwXd9d0,Daishōgun Hachi-jinja Shrine,4.3,968,Place Of Worship,,35.0265752,135.7339639,"Japan, 〒602-8374 Kyoto, Kamigyo Ward, Nishimachi, 48"
