HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
京宿日和 聚楽,京都市中京区聚楽廻中町４１−５,4.8,5,"lodging, point_of_interest, establishment",35.018123,135.741287,ChIJZw_-FsUHAWAR7ZqxLog41Aw
リジョイスステイ 京都二条城南,京都市中京区西ノ京池ノ内町１９−８ リジョイスステイ京都二条城南,4.6,20,"lodging, point_of_interest, establishment",35.0108268,135.7459918,ChIJU1H3PtMHAWARMtqYG9odfiU
ナンバー ６ 二条,京都市中京区西ノ京池ノ内町１６−５,4.7,35,"lodging, point_of_interest, establishment",35.010826,135.74667,ChIJAQAURdMHAWARtoWRXJ_ONas
朱雀 ききょう庵,京都市中京区西ノ京西月光町１８−８,4.6,8,"lodging, point_of_interest, establishment",35.0095098,135.7369097,ChIJecRF6csHAWARLK5cNxlEguQ
柏 二条城,京都市中京区 Kyoto 京都市中京区西ノ京池之内町 20番地31,,,"lodging, point_of_interest, establishment",35.01033359999999,135.7455004,ChIJq6ofJdMHAWARNhgUfqNE8R8
ART IN HOTEL SUMAU,京都市中京区西ノ京南聖町６−５,,,"lodging, point_of_interest, establishment",35.00935,135.74393,ChIJU8AbydIHAWARu4NG6wa0HKg
Senmaru Vacation Rental,京都市上京区小山町887番地 京都市上京区丸太町通千本東入,,,"lodging, point_of_interest, establishment",35.019279,135.7423404,ChIJ8Z0EKsUHAWARd_ToblEgJNQ
Ken House Kyoto,京都市中京区壬生御所ノ内町10‐14,4.5,6,"lodging, point_of_interest, establishment",35.00588399999999,135.743871,ChIJ3SXhvS0GAWARh_GBTiLe3gw
RAKUTOKO 桜,京都市中京区西ノ京船塚町１２−２７,4.4,10,"lodging, point_of_interest, establishment",35.01176149999999,135.7371619,ChIJNeDROskHAWARF-9Dm72mkxM
Guest House Oumi 近江,京都市中京区西ノ京永本町１９−１１,4.6,159,"lodging, point_of_interest, establishment",35.0119193,135.738874,ChIJk20mvM4HAWARxzLquc2Fbew
雲町屋 小星 KumoMachiya KOBOSHI,京都市中京区西ノ京星池町１７−１４,4.4,8,"lodging, point_of_interest, establishment",35.0129131,135.7405091,ChIJ54GnYM4HAWARuZpUmximYNo
桂倶楽部,京都市北区大将軍東鷹司町３８,4.8,4,"lodging, point_of_interest, establishment",35.022876,135.730089,ChIJHVrgTZQHAWARzAFeXiRMXss
"Guesthouse ""Ogawatei""",京都市右京区 26 Hanazono Imachi,4.2,9,"lodging, point_of_interest, establishment",35.0199938,135.7185521,ChIJO769BZwHAWAR_MfvPcXIuTY
二条じゅらく庵,京都市中京区聚楽廻松下町１１−３１,3.8,4,"lodging, point_of_interest, establishment",35.0196296,135.7387011,ChIJQYJHCcQHAWAR5Hqw4azNgiU
アーバンホテル京都二条プレミアム,京都市中京区聚楽廻南町２５−５,4.1,1560,"lodging, restaurant, point_of_interest, food, establishment",35.0151662,135.7421578,ChIJxcG-0c8HAWAR4sL--wKR4u4
雲町屋 小楽 KumoMachiya KORAKU,京都市中京区聚楽廻南町３０−５,5,1,"lodging, point_of_interest, establishment",35.0145227,135.7433906,ChIJrSvpw9EHAWARBtF2KzPFkOE
蔵や 千本三条,京都市中京区西ノ京南聖町２１−１５ 中京,4.8,6,"lodging, point_of_interest, establishment",35.0088855,135.7435483,ChIJwYGItNIHAWARK8fLV7g0tVo
福家・四季二条,京都市中京区聚楽廻西町１６３−１３,4.5,4,"lodging, point_of_interest, establishment",35.019707,135.740962,ChIJn78Z7cQHAWARhgVSBOAJJmQ
千本丸太町ゲストハウス,京都市上京区小山町８７１,5,4,"lodging, point_of_interest, establishment",35.0186046,135.7427499,ChIJ04Rzy9oHAWARPf3C7jh4ko4
千松庵,京都市上京区上京区中務町４９０−５１,4.3,12,"lodging, point_of_interest, establishment",35.018985,135.744002,ChIJC5bPlNoHAWARRfPPPY56jK8
スズキゲストハウス,京都市上京区主税町上京区主税町９８６,4.8,115,"lodging, point_of_interest, establishment",35.017619,135.7451624,ChIJTVAJidAHAWARBqIM5gORlSI
二条有楽庵,京都市中京区西ノ京池ノ内町２７−３,4.8,6,"lodging, point_of_interest, establishment",35.010389,135.746891,ChIJ8UR_TdMHAWARcvh_sjiaWDg
一栗邸,京都市中京区瓦師町６４,4.9,9,"lodging, point_of_interest, establishment",35.008916,135.7474563,ChIJ25jLnSwGAWARE6tPw5EB7UA
御泊処「京町家 二条城庵」,京都市上京区四町目８０２−６３,4.7,3,"lodging, point_of_interest, establishment",35.0161996,135.7474991,ChIJuSE1rXgIAWARil_hqHLwP_c
花園会館,京都市右京区花園木辻北町１−５,3.9,544,"lodging, point_of_interest, establishment",35.021323,135.722075,ChIJLVDQJZoHAWAR3r4anfg6UJ4
ホテル レジェンドプラス,京都市北区北野上白梅町６２−１,3.3,15,"lodging, point_of_interest, establishment",35.0277974,135.7320015,ChIJx7cwIJMHAWAR-X1cAQHnCPs
京町家の宿 出水町家,京都市上京区下丸屋町512 番地,4.6,7,"lodging, point_of_interest, establishment",35.019858,135.74581,ChIJN-c_QtoHAWAR80QrGthty0U
Shiki Homes | NENE 音々,京都市上京区 ９４ 94 百万遍町 上京区,4.5,11,"lodging, point_of_interest, establishment",35.02359349999999,135.7428712,ChIJJyHM09wHAWARS0Yzq5WlmYw
京町屋ゲストハウス まくや,京都市上京区稲葉町４４２−５,4.6,50,"lodging, point_of_interest, establishment",35.0202457,135.7417115,ChIJQ2vYvsQHAWARY7PbCs6ARk4
